Plot,Length_Feet,Length_Inches,Height,Test,Protein,Weight,Moisture,Entry,Rep,Program ID
84,14,4,28,64.8,12.5,2.216,12.5,25,4,HRW20081
85,14,7,27,62.9,11.1,2.636,14.1,20,4,HWW30034
86,14,1,32,63.3,13.3,2.629,15.1,9,4,HRW20014
87,14,4,27,63.1,10.9,3.058,14.2,24,4,HRW20080
88,14,1,30,64.2,12.8,3.174,15.1,11,4,HRW20016
89,14,5,29,64.3,11.9,2.402,13,18,4,HWW30005
90,14,4,34,63.4,10,3.418,15.8,1,4,HRW20077
91,14,0,31,64.4,10.7,3.022,15,7,4,HRW20076
92,14,2,29,63.1,11.6,2.047,11.9,21,4,HWW30035
93,14,5,31,62.4,11.3,3.031,14.7,17,4,HRW20006
94,14,7,29,62.6,11.5,2.95,14.4,14,4,HRW20003
95,14,8,30,64,11.6,3.262,15.6,3,4,HRW20020
96,14,7,30,62.7,9.7,3.108,14.9,15,4,HRW20004
97,14,0,27,61.8,10.3,2.748,14.1,16,4,HRW20005
98,14,8,33,64.6,10.9,3.087,15.6,8,4,HRW20013
99,14,6,30,64.1,11.7,2.801,14.1,10,4,HRW20015
100,14,6,33,63.1,11.3,3.016,14.8,13,4,HRW20002
