Plot,Rep,Program ID,Length_Feet,Length_Inches,Height,Test,Protein,Weight,Moisture,rep_dup
83,4,HRW20001,17,1,38,61.5,9,1.946,12.8,4
84,4,HRW20081,16,8,35,62.2,8.6,2.692,15,4
85,4,HWW30034,16,5,34,60.4,8.1,2.496,14.3,4
86,4,HRW20014,16,8,36,62,9.8,2.844,15.3,4
87,4,HRW20080,16,5,35,61.7,9.4,2.73,14.9,4
88,4,HRW20016,16,3,35,62.5,10.1,2.4,14.6,4
89,4,HWW30005,16,5,36,62.1,8.5,2.816,16,4
90,4,HRW20077,16,4,37,59.9,7.8,2.513,14,4
91,4,HRW20076,15,10,35,61.6,8.8,2.782,14.9,4
92,4,HWW30035,15,11,35,62.2,9.9,2.822,15.1,4
93,4,HRW20006,15,8,36,60.6,9.9,3.028,15.1,4
94,4,HRW20003,15,3,34,61.2,10.2,2.636,14.8,4
95,4,HRW20020,15,10,35,62.5,10,3.042,15.3,4
96,4,HRW20004,15,6,35,59.5,8.3,2.808,14.7,4
97,4,HRW20005,15,1,34,60.3,8.4,2.758,15.6,4
98,4,HRW20013,14,7,36,62.5,10.3,2.218,13.7,4
99,4,HRW20015,14,7,35,62.1,9.3,2.059,13.1,4
100,4,HRW20002,14,7,36,60.9,8.7,2.495,14.3,4
